,0,1,2,3,4,5,6
74,3254.0,45465.0,0,5,0,101,3470
75,24468.0,60022.0,0,7,0,152,12627
76,46455.0,40639.0,0,17,0,373,19413
77,40639.0,46455.0,0,17,0,107,1059
78,14758.0,58412.0,0,13,0,346,17430
79,58412.0,14758.0,0,15,0,157,809
80,20245.0,56551.0,0,11,0,267,8162
81,56551.0,20245.0,0,13,0,109,879
82,36501.0,33952.0,0,8,0,210,1564
83,33952.0,36501.0,0,10,0,156,879
84,39930.0,443.0,0,3,0,10,83
85,443.0,39930.0,0,3,0,18,0
86,41530.0,27376.0,0,247,0,38088,5137
87,27376.0,41530.0,0,55,0,40683,1808
88,46455.0,40639.0,0,1,0,20,0
89,14758.0,58412.0,0,1,0,20,0
90,20245.0,56551.0,0,1,0,20,0
91,36501.0,33952.0,0,1,0,20,0
92,39930.0,443.0,0,5,0,14,9549
93,443.0,39930.0,0,5,0,927,8754
94,27376.0,41530.0,0,183,0,48431,2813
95,41530.0,27376.0,0,233,0,54204,5969
96,14758.0,58412.0,0,3,0,50,1340
97,20245.0,56551.0,0,5,0,101,3465
98,36501.0,33952.0,0,7,0,151,12383
99,7313.0,51820.0,0,14,0,383,19090
100,51820.0,7313.0,0,16,0,189,812
101,40364.0,35557.0,0,12,0,308,17323
102,35557.0,40364.0,0,14,0,138,1032
103,27901.0,60673.0,0,10,0,278,8203
104,60673.0,27901.0,0,12,0,152,864
105,55896.0,48862.0,0,8,0,180,1362
106,48862.0,55896.0,0,10,0,162,925
107,41530.0,27376.0,0,213,0,44982,4672
108,27376.0,41530.0,0,177,0,50606,2706
109,40001.0,3697.0,0,1,0,18,0
110,7313.0,51820.0,0,1,0,20,0
111,40364.0,35557.0,0,1,0,20,0
112,27901.0,60673.0,0,1,0,20,0
113,55896.0,48862.0,0,1,0,20,0
114,443.0,39930.0,0,12,0,984,5072
115,39930.0,443.0,0,12,0,50,5143
116,27376.0,41530.0,0,178,0,49395,2769
117,41530.0,27376.0,0,209,0,45508,5579
118,40364.0,35557.0,0,3,0,51,1751
119,27901.0,60673.0,0,5,0,102,3231
120,55896.0,48862.0,0,7,0,152,12490
121,52973.0,42142.0,0,14,0,292,19087
122,42142.0,52973.0,0,16,0,185,1051
123,9529.0,46917.0,0,12,0,309,17123
124,46917.0,9529.0,0,14,0,132,792
125,6432.0,51908.0,0,10,0,220,8060
126,51908.0,6432.0,0,12,0,155,892
127,55156.0,60672.0,0,8,0,203,1416
128,60672.0,55156.0,0,10,0,162,906
129,40001.0,3697.0,0,2,0,36,6987
130,33924.0,443.0,0,8,0,2991,14305
131,443.0,33924.0,0,8,0,2634,8200
132,443.0,39930.0,0,25,0,763,11225
133,39930.0,443.0,0,25,0,132,11383
134,27376.0,41530.0,0,180,0,50662,2772
135,41530.0,27376.0,0,232,0,47414,5125
136,52973.0,42142.0,0,2,0,40,1001
137,9529.0,46917.0,0,2,0,40,1002
138,6432.0,51908.0,0,2,0,40,1002
139,55156.0,60672.0,0,2,0,40,1002
140,443.0,39930.0,0,7,0,960,4493
141,39930.0,443.0,0,7,0,18,4641
142,41530.0,27376.0,0,207,0,43796,5266
143,27376.0,41530.0,0,173,0,49683,2799
144,9529.0,46917.0,0,3,0,50,1344
145,6432.0,51908.0,0,5,0,100,2831
146,14676.0,37479.0,0,9,0,134,781
147,37479.0,14676.0,0,10,0,137,739
148,40001.0,3697.0,0,1,0,18,0
149,443.0,39930.0,0,5,0,56,0
150,39930.0,443.0,0,5,0,36,464
151,55156.0,60672.0,0,7,0,151,13093
152,9739.0,52538.0,0,14,0,335,18886
153,52538.0,9739.0,0,16,0,182,750
154,7686.0,51793.0,0,12,0,270,17408
155,51793.0,7686.0,0,14,0,178,856
156,48308.0,40906.0,0,10,0,242,7003
157,40906.0,48308.0,0,12,0,149,763
158,17388.0,42152.0,0,8,0,161,1606
159,42152.0,17388.0,0,9,0,202,906
160,41530.0,27376.0,0,218,0,44769,4762
161,27376.0,41530.0,0,183,0,49274,2888
162,443.0,33924.0,0,2,0,485,0
163,33924.0,443.0,0,2,0,149,0
164,12350.0,45449.0,0,2,0,5,0
165,45449.0,12350.0,0,2,0,5,0
166,443.0,39930.0,0,6,0,954,7400
167,39930.0,443.0,0,6,0,73,7280
168,27376.0,41530.0,0,190,0,49417,2829
169,41530.0,27376.0,0,226,0,45170,4765
170,40001.0,3697.0,0,1,0,18,0
171,443.0,39930.0,0,6,0,56,0
172,39930.0,443.0,0,6,0,36,797
173,7686.0,51793.0,0,2,0,20,0
174,48308.0,40906.0,0,5,0,101,2727
175,17388.0,42152.0,0,7,0,151,13318
176,40001.0,3697.0,0,1,0,18,0
177,49461.0,57822.0,0,13,0,320,18824
178,57822.0,49461.0,0,15,0,177,968
179,7013.0,39883.0,0,12,0,272,17368
180,39883.0,7013.0,0,14,0,186,817
181,40100.0,52702.0,0,10,0,226,7153
182,52702.0,40100.0,0,12,0,150,1058
183,25859.0,59261.0,0,8,0,176,1283
184,59261.0,25859.0,0,10,0,201,820
185,443.0,39930.0,0,6,0,56,0
186,39930.0,443.0,0,6,0,36,695
187,41530.0,27376.0,0,238,0,43993,4923
188,27376.0,41530.0,0,174,0,49444,2713
189,49461.0,57822.0,0,1,0,20,0
190,7013.0,39883.0,0,1,0,20,0
191,40100.0,52702.0,0,1,0,20,0
192,25859.0,59261.0,0,1,0,20,0
193,40001.0,3697.0,0,1,0,18,0
194,443.0,39930.0,0,11,0,982,10796
195,39930.0,443.0,0,11,0,50,11486
196,33924.0,443.0,0,2,0,1189,65
197,27376.0,41530.0,0,189,0,49180,2830
198,41530.0,27376.0,0,232,0,43722,4387
199,7013.0,39883.0,0,2,0,20,0
200,43572.0,42161.0,0,10,0,181,1321
201,42161.0,43572.0,0,10,0,171,1165
202,40100.0,52702.0,0,5,0,101,4818
203,4836.0,34665.0,0,9,0,150,743
204,34665.0,4836.0,0,10,0,163,737
205,37154.0,47791.0,0,11,0,287,14315
206,47791.0,37154.0,0,13,0,185,927
207,25859.0,59261.0,0,6,0,151,14317
208,12528.0,59110.0,0,10,0,238,11258
209,59110.0,12528.0,0,12,0,118,1165
210,45707.0,43084.0,0,8,0,189,1284
211,43084.0,45707.0,0,10,0,159,862
212,40001.0,3697.0,0,1,0,18,0
213,443.0,39930.0,0,7,0,123,2367
214,39930.0,443.0,0,7,0,40,2347
215,41530.0,27376.0,0,223,0,45778,5085
216,27376.0,41530.0,0,179,0,49577,2620
217,443.0,39930.0,0,3,0,911,1
218,39930.0,443.0,0,3,0,4,0
219,41530.0,27376.0,0,211,0,46113,4835
220,27376.0,41530.0,0,182,0,49019,2854
221,25859.0,59261.0,0,1,0,20,0
222,37154.0,47791.0,0,1,0,20,0
223,12528.0,59110.0,0,1,0,20,0
224,45707.0,43084.0,0,1,0,20,0
225,40001.0,3697.0,0,1,0,18,0
226,39930.0,443.0,0,16,0,1400,11249
227,443.0,39930.0,0,16,0,164,10491
228,12528.0,59110.0,0,3,0,51,2068
229,45707.0,43084.0,0,5,0,101,4731
230,25859.0,59261.0,0,6,0,151,13987
231,8759.0,55468.0,0,12,0,320,12945
232,55468.0,8759.0,0,14,0,177,713
233,44254.0,36850.0,0,10,0,267,10501
234,36850.0,44254.0,0,12,0,175,747
235,24055.0,34820.0,0,8,0,161,1044
236,34820.0,24055.0,0,10,0,162,677
237,41530.0,27376.0,0,251,0,46535,4980
238,27376.0,41530.0,0,172,0,48533,2776
239,39930.0,443.0,0,3,0,61,114
240,443.0,39930.0,0,3,0,50,0
241,52847.0,3697.0,0,1,0,18,0
242,7745.0,3697.0,0,1,0,18,0
243,443.0,3697.0,0,1,0,18,0
244,443.0,3697.0,0,1,0,18,0
