,0,1,2,3,4,5,6
117,41371.0,80.0,0,8,0,1492,2596
118,57225.0,80.0,0,20,0,16780,1029
119,443.0,48285.0,0,2,0,734,951
120,48285.0,443.0,0,3,0,460,0
121,36590.0,53.0,0,4,0,132,469
122,53.0,53566.0,0,2,0,66,0
123,443.0,49719.0,0,37,0,1804,6798
124,49719.0,443.0,0,44,0,40384,7206
125,443.0,42465.0,0,23,0,2358,4139
126,42465.0,443.0,0,22,0,5376,3231
127,443.0,42468.0,0,11,0,435,1213
128,42468.0,443.0,0,9,0,3736,225
129,53.0,45165.0,0,4,0,132,367
130,45165.0,53.0,0,4,0,132,242
131,53566.0,53.0,0,2,0,82,0
132,53.0,48757.0,0,4,0,132,196
133,53.0,34333.0,0,2,0,74,0
134,53.0,55750.0,0,2,0,92,0
135,48757.0,53.0,0,4,0,132,276
136,34333.0,53.0,0,2,0,90,0
137,55750.0,53.0,0,2,0,108,0
138,443.0,43115.0,0,13,0,1222,764
139,80.0,33991.0,0,7,0,383,0
140,33991.0,80.0,0,6,0,2247,0
141,53.0,50303.0,0,4,0,132,308
142,50303.0,53.0,0,4,0,132,241
143,80.0,45241.0,0,70,0,9224,12908
144,80.0,45243.0,0,69,0,9323,13042
145,80.0,45244.0,0,104,0,9077,12823
146,80.0,45245.0,0,55,0,8595,12429
147,45243.0,80.0,0,115,0,39546,10611
148,45244.0,80.0,0,180,0,54034,6395
149,80.0,45246.0,0,135,0,9038,12771
150,45246.0,80.0,0,211,0,32534,1350
151,53.0,50543.0,0,4,0,132,327
152,50543.0,53.0,0,4,0,132,265
153,443.0,52374.0,0,49,0,10523,3419
154,52374.0,443.0,0,59,0,43724,3694
155,80.0,52869.0,0,9,0,1332,1843
156,52869.0,80.0,0,9,0,2377,1859
157,443.0,58803.0,0,16,0,690,877
158,58803.0,443.0,0,15,0,6897,988
159,80.0,57225.0,0,23,0,1140,895
160,80.0,42195.0,0,8,0,301,0
161,42195.0,80.0,0,7,0,1898,26
162,80.0,53434.0,0,36,0,312,0
163,53434.0,80.0,0,44,0,51377,294
164,80.0,41371.0,0,8,0,888,2635
165,80.0,53842.0,0,6,0,446,0
166,53842.0,80.0,0,6,0,788,0
167,43540.0,80.0,0,11,0,9348,214
168,443.0,37267.0,0,247,0,21680,5930
169,37267.0,443.0,0,120,0,9406,1143
170,443.0,37269.0,0,31,0,2331,1214
171,37269.0,443.0,0,31,0,22694,1397
172,53.0,46123.0,0,2,0,58,0
173,53.0,43083.0,0,2,0,66,0
174,53.0,48182.0,0,2,0,66,0
175,46123.0,53.0,0,2,0,74,0
176,43083.0,53.0,0,2,0,82,0
177,48182.0,53.0,0,2,0,82,0
178,53.0,45999.0,0,2,0,48,0
179,53.0,56953.0,0,2,0,74,0
180,53.0,53575.0,0,2,0,78,0
181,45999.0,53.0,0,2,0,64,0
182,53.0,58761.0,0,2,0,64,0
183,53575.0,53.0,0,2,0,94,0
184,53.0,55146.0,0,2,0,72,0
185,58761.0,53.0,0,2,0,80,0
186,53.0,44839.0,0,2,0,64,0
187,56953.0,53.0,0,2,0,90,0
188,55146.0,53.0,0,2,0,88,0
189,44839.0,53.0,0,2,0,80,0
190,80.0,58536.0,0,7,0,327,0
191,58536.0,80.0,0,6,0,298,0
192,80.0,56627.0,0,11,0,3980,1595
193,56627.0,80.0,0,12,0,3714,1805
194,80.0,53843.0,0,6,0,446,0
195,53843.0,80.0,0,6,0,788,0
196,80.0,54282.0,0,12,0,4155,30025
197,54282.0,80.0,0,11,0,1977,900
198,80.0,53052.0,0,31,0,295,0
199,53052.0,80.0,0,46,0,54113,168
200,80.0,35289.0,0,6,0,362,0
